0,1,2,3
339964,1289968.0,1230.0,569.0
35691,54479.0,8853.0,114604.0
112160,1114610.0,1114612.0,1114607.0
64690,110014.0,17419.0,30614.0
1018,3489.0,15007.0,15009.0
10285,62596.0,51579.0,16662.0
73861,15265.0,66027.0,1051260.0
298312,1385063.0,1198286.0,17696.0
8967,287.0,83002.0,10981.0
8810,2461.0,27752.0,933020.0
18176,62.0,37153.0,56680.0
426230,78324.0,61110.0,1181326.0
948,8944.0,11770.0,9221.0
10017,6952.0,11151.0,6681.0
9770,4483.0,15854.0,8891.0
546,7431.0,4521.0,7427.0
309886,2461.0,3905.0,8688.0
8193,53929.0,20190.0,5727.0
9456,205.0,7676.0,11867.0
13020,9979.0,939017.0,568404.0
5879,552315.0,21503.0,46239.0
624,514.0,2778.0,1926100.0
37722,6161.0,228.0,8289.0
39414,10859.0,54693.0,8447.0
1587,85.0,6193.0,3196.0
244267,10692.0,469759.0,222330.0
25196,72466.0,1229.0,3087.0
17473,81916.0,81922.0,81919.0
1546,6384.0,4937.0,3063.0
9388,16431.0,3905.0,49.0
68924,109.0,8945.0,10205.0
1365,4587.0,1810.0,879.0
2142,16483.0,380.0,418.0
370663,1543094.0,1503534.0,26973.0
43923,58225.0,34847.0,37153.0
2016,2408.0,19119.0,20667.0
13008,17051.0,55089.0,27578.0
231576,5374.0,125025.0,54415.0
13195,3895.0,3416.0,58502.0
12498,879.0,3087.0,155.0
242095,2975.0,1173984.0,1017347.0
11229,368.0,2628.0,71913.0
10925,62019.0,97619.0,14852.0
9081,569.0,1884.0,6163.0
3134,574353.0,146243.0,933799.0
11545,935.0,1532.0,1248.0
41280,35319.0,42157.0,35516.0
5781,3822.0,14821.0,10500.0
14337,76624.0,1080295.0,76625.0
11448,1283.0,1243.0,1164.0
400,4690.0,884.0,1271.0
9787,17604.0,1810.0,46593.0
8327,55119.0,1070647.0,55125.0
14748,37625.0,3064.0,63311.0
12890,27578.0,6065.0,520.0
24469,17288.0,45051.0,1579244.0
36819,738.0,65.0,8930.0
2013,2201.0,7276.0,8791.0
9515,517.0,15250.0,36801.0
14139,147898.0,118303.0,125287.0
1024,204.0,15091.0,11334.0
9692,4724.0,4589.0,335.0
10546,11155.0,18658.0,13604.0
10008,55636.0,5606.0,19655.0
331190,51072.0,10839.0,13920.0
2074,16851.0,7399.0,4939.0
111969,6161.0,40462.0,3027.0
11298,14253.0,102429.0,62001.0
147,1650.0,14812.0,1653.0
8981,17276.0,1246.0,3294.0
12165,72129.0,6885.0,22462.0
10569,1243.0,3291.0,30364.0
16759,3896.0,1088195.0,97416.0
9451,368.0,4756.0,13023.0
793,4784.0,2778.0,1370.0
6404,2310.0,6553.0,6818.0
9270,24045.0,526.0,22122.0
9716,524.0,1204.0,819.0
10683,1233.0,856.0,15440.0
13785,43775.0,11514.0,8265.0
10217,65.0,7868.0,19958.0
13243,41091.0,56731.0,9281.0
10997,643.0,69637.0,109436.0
696,1243.0,5064.0,3092.0
7874,2231.0,12111.0,6886.0
10480,192.0,6383.0,19.0
10740,2227.0,15854.0,6413.0
883,112.0,884.0,1532.0
46829,4483.0,10882.0,13242.0
11171,24045.0,1951.0,1275.0
4550,64880.0,25004.0,20738.0
26320,46593.0,77795.0,11356.0
48650,3623.0,84778.0,27392.0
10687,72466.0,335.0,5365.0
15058,37917.0,18324.0,11665.0
11236,10978.0,28743.0,1350.0
1600,1350.0,17899.0,17903.0
1988,11701.0,76793.0,81681.0
25983,62001.0,119232.0,100552.0
13198,534.0,21200.0,17039.0
10900,15887.0,8984.0,67711.0
16235,4521.0,12514.0,15668.0
12702,6193.0,11794.0,27241.0
8832,20234.0,1872718.0,1033152.0
402423,8349.0,555136.0,1424827.0
2779,6885.0,1243.0,707.0
31442,13708.0,13709.0,90360.0
39037,34612.0,53368.0,6279.0
11602,2201.0,7569.0,69981.0
16448,11514.0,26510.0,212.0
2771,13242.0,27972.0,10825.0
29963,37260.0,25663.0,17064.0
248774,213001.0,21125.0,212.0
16131,37917.0,478.0,50346.0
12569,880.0,18973.0,41091.0
12473,82104.0,21125.0,28633.0
5172,62.0,18999.0,879.0
11561,1243.0,3092.0,30050.0
649,50.0,24422.0,793.0
10476,8171.0,40036.0,132078.0
17680,74251.0,82292.0,82282.0
31007,37917.0,12851.0,4691.0
404,5606.0,5048.0,5616.0
507,1146.0,7036.0,7037.0
13258,77996.0,93491.0,81260.0
7859,30614.0,53650.0,6067.0
63578,7399.0,4581.0,47632.0
10707,109513.0,44735.0,350.0
14585,6383.0,19208.0,43372.0
27586,37917.0,501.0,98522.0
11121,2630.0,10652.0,22109.0
44945,2296.0,76512.0,19492.0
12767,37917.0,290.0,6065.0
13492,49025.0,1370578.0,48409.0
24920,55654.0,29433.0,101335.0
2575,517.0,10980.0,118.0
145,1646.0,1640.0,1639.0
9466,6885.0,1920.0,6193.0
2255,880.0,1892.0,1893.0
13173,1920.0,10696.0,56731.0
10218,15277.0,69122.0,4937.0
11336,4690.0,4139.0,8349.0
16148,7399.0,8984.0,31070.0
42989,12446.0,117546.0,30706.0
13573,1979.0,30614.0,1896.0
10937,2506.0,6450.0,2295.0
24100,2506.0,20766.0,5529.0
15867,3092.0,5249.0,12518.0
1826,17521.0,17522.0,2405.0
13107,5151.0,8329.0,36422.0
2742,65.0,6355.0,351.0
9781,45379.0,820.0,15091.0
1845,3872.0,6163.0,1146.0
14242,84924.0,1502571.0,1502570.0
2295,880.0,5916.0,824.0
2171,9281.0,51329.0,22226.0
692,10369.0,10376.0,1832086.0
47760,76070.0,101015.0,209.0
8669,3223.0,52852.0,15250.0
19200,1243.0,6949.0,3036.0
10149,2178.0,15852.0,1037.0
13193,11510.0,16855.0,18248.0
9538,11086.0,2463.0,26662.0
1999,3141.0,5606.0,650.0
11660,28749.0,1835588.0,1835594.0
12834,819.0,4038.0,41292.0
659,7107.0,10262.0,10255.0
45658,23659.0,15556.0,4784.0
14048,81425.0,81438.0,81432.0
47218,51072.0,144009.0,50463.0
8675,42545.0,34518.0,544069.0
27004,74568.0,48.0,5170.0
9684,1243.0,139.0,2206.0
7090,21859.0,99.0,17413.0
487660,1707946.0,1925383.0,1925380.0
1730,3489.0,16940.0,3905.0
895,13708.0,86680.0,13709.0
11363,6941.0,4491.0,2956.0
1689,6384.0,2233.0,6591.0
20777,53.0,20387.0,2838.0
16367,11109.0,5294.0,33192.0
232175,5916.0,18269.0,15152.0
441,22970.0,504.0,7026.0
13171,9273.0,22226.0,56322.0
13668,9278.0,18082.0,3196.0
9786,6949.0,5657.0,388.0
11592,10826.0,3391.0,26457.0
209271,130640.0,10431.0,41091.0
145197,139150.0,76624.0,1473740.0
27236,5048.0,8255.0,97358.0
9824,3905.0,118.0,4174.0
12079,42545.0,5723.0,53.0
45054,18182.0,4391.0,400.0
2639,9278.0,3416.0,13242.0
8284,5049.0,3063.0,1532.0
50875,21657.0,467645.0,2517.0
2786,3829.0,1653.0,26959.0
308,3063.0,1532.0,4430.0
1599,4483.0,3489.0,13240.0
244268,12074.0,3141.0,49918.0
8944,37917.0,380.0,62.0
527,7248.0,7242.0,7243.0
14976,1813.0,60898.0,102429.0
4911,6856.0,10182.0,2039.0
20912,28782.0,57755.0,2408.0
9912,4173.0,60376.0,60372.0
1415,11510.0,2958.0,13922.0
9685,4038.0,4785.0,11864.0
13180,,,
18329,1337.0,69637.0,1622.0
1382,4975.0,16861.0,15376.0
5558,9920.0,2369.0,3594.0
