,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,id,belongs_to_collection,genres,original_language,original_title,popularity,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,vote_count,vote_average,movie_id,Actor1_pop,Actor2_pop,Actor3_pop,12,878,28,18,10751,53,35,80,9648,14,27,10749,99,10402,36,10752,16,37,10769,10770,Number of Production Companies,Release Month,'US','CA','GB',OTHER,'en','otherLang'
10,10,10,10,10,18176,0.0,"[{'name': 'Comedy', 'id': 35}, {'name': 'Crime', 'id': 80}, {'name': 'Mystery', 'id': 9648}, {'name': 'Thriller', 'id': 53}]",en,Assassination of a High School President,7.195767,"[{'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Yari Film Group', 'id': 2448}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/17/2008,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Politics, popularity, paranoia, pharmaceuticals. Are you in?",Assassination of a High School President,101,6.1,18176,7.044354,2.431067,1.806759,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1,0,0,0,0,0
11,11,11,11,11,426230,0.0,"[{'name': 'Comedy', 'id': 35}]",en,Band Aid,7.243994,"[{'name': 'Mister Lister Films', 'id': 50080}, {'name': 'QC Entertainment', 'id': 72725}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/2/2017,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Post Production,,Band Aid,32,6.6,426230,3.026275,2.280469,2.085435,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.0,1,0,0,0,0,0
12,12,12,12,12,948,1.0,"[{'name': 'Horror', 'id': 27}, {'name': 'Thriller', 'id': 53}]",en,Halloween,8.788224,"[{'name': 'Compass International Pictures', 'id': 14323}, {'name': 'Falcon International Productions', 'id': 22814}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/24/1978,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Night He Came Home,Halloween,1184,7.4,948,3.060685,2.920096,2.092218,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1,0,0,0,0,0
13,13,13,13,13,10017,0.0,"[{'name': 'Romance', 'id': 10749}, {'name': 'Science Fiction', 'id': 878}, {'name': 'Horror', 'id': 27}, {'name': 'Action', 'id': 28}, {'name': 'Crime', 'id': 80}]",en,The Wraith,6.413061,"[{'name': 'New Century Entertainment Corporation', 'id': 10165}, {'name': 'Alliance Entertainment', 'id': 10166}, {'name': 'Turbo Productions', 'id': 59346}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",11/21/1986,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He's not from around here...,The Wraith,112,6.0,10017,3.530998,2.786826,1.90677,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,11.0,1,1,0,0,0,0
14,14,14,14,14,9770,0.0,"[{'name': 'Action', 'id': 28}, {'name': 'Drama', 'id': 18}, {'name': 'Thriller', 'id': 53}]",en,Mad City,9.669714,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Arnold Kopelson Productions', 'id': 16775}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/7/1997,114.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One man will make a mistake. The other will make it a spectacle.,Mad City,84,5.9,9770,8.441149,4.34077,4.23892,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.0,1,0,0,0,0,0
15,15,15,15,15,546,0.0,"[{'name': 'Drama', 'id': 18}]",en,Transamerica,7.382634,"[{'name': 'IFC Films', 'id': 307}, {'name': 'The Weinstein Company', 'id': 308}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/23/2005,103.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Life is a Journey. Bring an Open Mind.,Transamerica,158,6.9,546,2.587379,2.128066,1.606145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.0,1,0,0,0,0,0
16,16,16,16,16,309886,0.0,"[{'name': 'Action', 'id': 28}, {'name': 'Thriller', 'id': 53}]",en,Blood Father,9.552388,"[{'name': 'Why Not Productions', 'id': 729}, {'name': 'Wild Bunch', 'id': 856}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",8/11/2016,88.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,They left him no choice..,Blood Father,553,6.1,309886,5.155845,4.166409,2.916929,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.0,0,0,0,1,0,0
17,17,17,17,17,8193,0.0,"[{'name': 'Comedy', 'id': 35}]",en,Napoleon Dynamite,8.765317,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'MTV Films', 'id': 746}, {'name': 'Access Films', 'id': 2339}, {'name': 'Napoleon Pictures Limited', 'id': 2340}, {'name': 'Carnival Films', 'id': 6196}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/11/2004,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He's out to prove he's got nothing to prove.,Napoleon Dynamite,599,6.8,8193,1.061049,0.83054,0.624106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.0,1,0,0,0,0,0
18,18,18,18,18,9456,1.0,"[{'name': 'Action', 'id': 28}, {'name': 'Science Fiction', 'id': 878}, {'name': 'Thriller', 'id': 53}]",en,The Crow: Salvation,7.53789,"[{'name': 'Jeff Most Productions', 'id': 4030}, {'name': 'Edward R. Pressman Film', 'id': 6455}, {'name': 'IMF Internationale Medien und Film GmbH & Co. Produktions KG', 'id': 65403}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10/31/2000,102.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,"For Vengeance, For Justice, For Love.",The Crow: Salvation,82,5.0,9456,4.462513,1.666625,1.553876,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10.0,1,0,0,1,0,0
19,19,19,19,19,13020,0.0,"[{'name': 'Documentary', 'id': 99}]",en,Enron: The Smartest Guys in the Room,8.436988,"[{'name': '2929 Productions', 'id': 846}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/22/2005,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's Just Business.,Enron: The Smartest Guys in the Room,78,7.2,13020,1.381362,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.0,1,0,0,0,0,0
